"Latest: Time (s)","Latest: Potential (mV)","Latest: EKG (mV)"
0.86,0.0757020757021,0.144722646866
0.865,0.0842490842491,0.12525524115
0.87,0.0818070818071,0.107607238253
0.875,0.0757020757021,0.0939979226611
0.88,0.0805860805861,0.0844355560287
0.885,0.0659340659341,0.078121102358
0.89,0.0610500610501,0.0732173528552
0.895,0.0634920634921,0.0688983943713
0.9,0.0598290598291,0.0654950276587
0.905,0.047619047619,0.0623813961286
0.91,0.0500610500611,0.0588019429206
0.915,0.0525030525031,0.0554285914723
0.92,0.04884004884,0.0529480594771
0.925,0.039072039072,0.0506884288189
0.93,0.02442002442,0.0472082668914
0.935,0.00610500610501,0.041122648941
0.94,0.015873015873,0.0329634803793
0.945,0.004884004884,0.0248394869563
0.95,-0.002442002442,0.0173306591373
0.955,0.002442002442,0.0105524015522
0.96,0,0.00538422029809
0.965,-0.001221001221,0.00190523735895
0.97,0.001221001221,-0.000213664141421
0.975,-0.003663003663,-0.00132899295459
0.98,-0.004884004884,-0.00213923283373
0.985,-0.00854700854701,-0.00315685781879
0.99,-0.014652014652,-0.00476462167931
0.995,-0.025641025641,-0.00760514059055
1,-0.028083028083,-0.0119359651633
1.005,-0.021978021978,-0.0166512012226
1.01,-0.020757020757,-0.0201784633283
1.015,-0.029304029304,-0.0224705894764
1.02,-0.029304029304,-0.0244645518335
1.025,-0.029304029304,-0.0263382221889
1.03,-0.03663003663,-0.0281449502258
1.035,-0.040293040293,-0.0304302695307
1.04,-0.046398046398,-0.0334868210597
1.045,-0.0500610500611,-0.0372598889004
1.05,-0.040293040293,-0.0408580955157
1.055,-0.046398046398,-0.0432557203252
1.06,-0.0525030525031,-0.0450147462049
1.065,-0.039072039072,-0.0463604211278
1.07,-0.034188034188,-0.0460716246346
1.075,-0.026862026862,-0.0436240912413
1.08,-0.030525030525,-0.0398342503012
1.085,-0.034188034188,-0.0362525558122
1.09,-0.029304029304,-0.0337157853139
1.095,-0.040293040293,-0.0323863323461
1.1,-0.042735042735,-0.0327972049458
1.105,-0.03663003663,-0.034438789676
1.11,-0.034188034188,-0.0358194667781
1.115,-0.034188034188,-0.0363101109445
1.12,-0.041514041514,-0.0364977967699
1.125,-0.041514041514,-0.0371777746746
1.13,-0.045177045177,-0.0384813363039
1.135,-0.0537240537241,-0.0405832922783
1.14,-0.040293040293,-0.0430280022138
1.145,-0.030525030525,-0.0438946465484
1.15,-0.035409035409,-0.0425297387558
1.155,-0.0512820512821,-0.0410514397707
1.16,-0.0586080586081,-0.0418179315149
1.165,-0.0586080586081,-0.044955174895
1.17,-0.0525030525031,-0.0487358031649
1.175,-0.045177045177,-0.0512339954294
1.18,-0.04884004884,-0.0518519077148
1.185,-0.0598290598291,-0.0519379965482
1.19,-0.0708180708181,-0.0534364519683
1.195,-0.0720390720391,-0.0569301763907
1.2,-0.0781440781441,-0.0616617430975
1.205,-0.0879120879121,-0.0671992057388
1.21,-0.0903540903541,-0.0734067260336
1.215,-0.0976800976801,-0.0798122182515
1.22,-0.105006105006,-0.0862596276202
1.225,-0.10989010989,-0.0927771236116
1.23,-0.0989010989011,-0.0984080686542
1.235,-0.0805860805861,-0.100930451908
1.24,-0.0671550671551,-0.0986422087602
1.245,-0.0659340659341,-0.092269858305
1.25,-0.0586080586081,-0.0839945531913
1.255,-0.041514041514,-0.0747895420004
1.26,-0.021978021978,-0.0640095156676
1.265,-0.010989010989,-0.051346101512
1.27,0.003663003663,-0.037502117253
1.275,0.020757020757,-0.0229847375641
1.28,0.01221001221,-0.00895623474872
1.285,0.00732600732601,0.00201788402887
1.29,0.013431013431,0.0089015259903
1.295,0.018315018315,0.0130664720297
1.3,0.013431013431,0.0156327271598
1.305,0.00854700854701,0.0164885667487
1.31,0.013431013431,0.0158946614599
1.315,0.00732600732601,0.0146410185978
1.32,-0.00610500610501,0.0123366811678
1.325,-0.00976800976801,0.0082510026444
1.33,-0.00854700854701,0.00314192583784
1.335,-0.031746031746,-0.00265424682109
1.34,-0.0866910866911,-0.0123376029764
1.345,-0.162393162393,-0.0317777955872
1.35,-0.21978021978,-0.0645959044143
1.355,-0.260073260073,-0.108583402622
1.36,-0.290598290598,-0.157720377124
1.365,-0.267399267399,-0.203927745499
1.37,-0.162393162393,-0.234591409355
1.375,0.014652014652,-0.233026341301
1.38,0.222222222222,-0.185145051415
1.385,0.330891330891,-0.0909885872496
1.39,0.350427350427,0.0290551675761
1.395,0.296703296703,0.144016447751
1.4,0.212454212454,0.227322515473
1.405,0.126984126984,0.265493525578
1.41,0.0757020757021,0.260284898426
1.415,0.04884004884,0.224789218596
1.42,0.040293040293,0.175709504577
1.425,0.00854700854701,0.125513265754
1.43,-0.010989010989,0.0798059541885
1.435,-0.00976800976801,0.0415299563453
1.44,-0.014652014652,0.0129578467986
1.445,-0.030525030525,-0.00669597985694
1.45,-0.040293040293,-0.0204774455789
1.455,-0.041514041514,-0.030517566536
1.46,-0.041514041514,-0.0374282427288
1.465,-0.045177045177,-0.0417499198518
1.47,-0.0525030525031,-0.0446767523752
1.475,-0.0659340659341,-0.0478420046745
1.48,-0.0695970695971,-0.0522865761536
1.485,-0.0695970695971,-0.0574977468669
1.49,-0.0671550671551,-0.0621806646672
1.495,-0.0708180708181,-0.0656833284851
1.5,-0.0598290598291,-0.0676775572419
1.505,-0.0610500610501,-0.0677733518976
1.51,-0.0671550671551,-0.0668051427371
1.515,-0.0683760683761,-0.066168228253
1.52,-0.0793650793651,-0.0667130083836
1.525,-0.0879120879121,-0.0692029352834
1.53,-0.103785103785,-0.0742178214282
1.535,-0.108669108669,-0.0816332289949
1.54,-0.107448107448,-0.0899874376489
1.545,-0.114774114774,-0.0977123972585
1.55,-0.130647130647,-0.105054266936
1.555,-0.141636141636,-0.113162360036
1.56,-0.153846153846,-0.12246053386
1.565,-0.153846153846,-0.132261720503
1.57,-0.153846153846,-0.141064979262
1.575,-0.168498168498,-0.148428927954
1.58,-0.179487179487,-0.155584948006
1.585,-0.181929181929,-0.16312068938
1.59,-0.188034188034,-0.170466518788
1.595,-0.200244200244,-0.17760263548
1.6,-0.214896214896,-0.185402903709
1.605,-0.227106227106,-0.194568835482
1.61,-0.23199023199,-0.204742825018
1.615,-0.21978021978,-0.213985827704
1.62,-0.223443223443,-0.220333123354
1.625,-0.234432234432,-0.224366661036
1.63,-0.229548229548,-0.227475525559
1.635,-0.217338217338,-0.229049011537
1.64,-0.197802197802,-0.227323949114
1.645,-0.172161172161,-0.220746341015
1.65,-0.129426129426,-0.20775752947
1.655,-0.0695970695971,-0.186126620614
1.66,-0.018315018315,-0.1543796911
1.665,0.026862026862,-0.113940163378
1.67,0.0805860805861,-0.0676753847716
1.675,0.137973137973,-0.0173945452289
1.68,0.175824175824,0.0351025200218
1.685,0.210012210012,0.0867192124732
1.69,0.246642246642,0.134968500087
1.695,0.267399267399,0.178572684046
1.7,0.284493284493,0.216239695807
1.705,0.284493284493,0.246570859499
1.71,0.279609279609,0.268260508244
1.715,0.26862026862,0.280740265083
1.72,0.272283272283,0.285317416941
1.725,0.249084249084,0.283924168203
1.73,0.230769230769,0.277035346355
1.735,0.221001221001,0.265504271226
1.74,0.206349206349,0.2513958158
1.745,0.199023199023,0.236482741605
1.75,0.191697191697,0.222236004402
1.755,0.166056166056,0.208749138049
1.76,0.147741147741,0.194576079116
1.765,0.155067155067,0.180146142873
1.77,0.151404151404,0.167914625158
1.775,0.124542124542,0.157782170688
1.78,0.10989010989,0.147228482532
1.785,0.100122100122,0.135373411827
1.79,0.0842490842491,0.122756481907
1.795,0.0671550671551,0.109389331798
1.8,0.0500610500611,0.0950218328456
1.805,0.0500610500611,0.0804478111225
1.81,0.0500610500611,0.0676729447033
1.815,0.0561660561661,0.0584218702504
1.82,0.0659340659341,0.0536248005114
1.825,0.0586080586081,0.052748359483
1.83,0.047619047619,0.0532296080214
1.835,0.035409035409,0.0523746639066
1.84,0.040293040293,0.0496121496774
1.845,0.045177045177,0.0465338821348
1.85,0.042735042735,0.0444316172317
1.855,0.01221001221,0.0417891127772
1.86,-0.00976800976801,0.0354256368024
1.865,-0.015873015873,0.0246887948358
1.87,-0.017094017094,0.0121488348176
1.875,-0.015873015873,0.000698081171553
1.88,-0.015873015873,-0.00804768486097
1.885,-0.018315018315,-0.0139056000793
1.89,-0.030525030525,-0.0180508679993
1.895,-0.021978021978,-0.021433825103
1.9,-0.017094017094,-0.0233670048948
1.905,-0.013431013431,-0.0232165564328
1.91,-0.014652014652,-0.0215621730523
1.915,-0.00732600732601,-0.0190791259149
1.92,-0.010989010989,-0.0161961056644
1.925,-0.026862026862,-0.0143806202477
1.93,-0.029304029304,-0.0151713045689
1.935,-0.026862026862,-0.0179427370891
1.94,-0.03663003663,-0.0215148830265
1.945,-0.040293040293,-0.0257792302769
1.95,-0.03663003663,-0.0302167193634
1.955,-0.039072039072,-0.0338641972637
1.96,-0.042735042735,-0.0366753870273
1.965,-0.047619047619,-0.0392324628924
1.97,-0.0500610500611,-0.0419249631883
1.975,-0.037851037851,-0.0440745733401
1.98,-0.037851037851,-0.0445466361548
1.985,-0.040293040293,-0.0436559363338
1.99,-0.045177045177,-0.0427099874171
1.995,-0.046398046398,-0.0425310164853
2,-0.0500610500611,-0.0432692225988
2.005,-0.0525030525031,-0.0448292313737
2.01,-0.0525030525031,-0.0468998375966
2.015,-0.042735042735,-0.0485015167866
2.02,-0.03663003663,-0.0483941518135
2.025,-0.046398046398,-0.046902799899
2.03,-0.0549450549451,-0.0460198670363
2.035,-0.0549450549451,-0.046838280952
2.04,-0.0549450549451,-0.0487367073047
2.045,-0.0512820512821,-0.0506470047151
2.05,-0.0549450549451,-0.0520416576485
2.055,-0.04884004884,-0.0528127049323
2.06,-0.047619047619,-0.0526841602302
2.065,-0.0537240537241,-0.0520242512025
2.07,-0.0598290598291,-0.0520133596813
2.075,-0.0610500610501,-0.0532249044809
2.08,-0.0500610500611,-0.0547014414693
2.085,-0.042735042735,-0.0547403229166
2.09,-0.047619047619,-0.0531074143174
2.095,-0.0525030525031,-0.0512915769006
2.1,-0.0622710622711,-0.0508473839959
2.105,-0.0598290598291,-0.0521736340844
2.11,-0.0573870573871,-0.054238534449
2.115,-0.0525030525031,-0.0557224118919
2.12,-0.0512820512821,-0.0560271225361
2.125,-0.0561660561661,-0.0555830231411
2.13,-0.0671550671551,-0.055753830014
2.135,-0.0793650793651,-0.0579980003726
2.14,-0.0891330891331,-0.0629318642816
2.145,-0.0854700854701,-0.0695736409531
2.15,-0.0866910866911,-0.0759987824736
2.155,-0.0976800976801,-0.081582382641
2.16,-0.111111111111,-0.0874115859219
2.165,-0.118437118437,-0.0943700317181
2.17,-0.119658119658,-0.101951677905
2.175,-0.113553113553,-0.108609782625
2.18,-0.102564102564,-0.112571191113
2.185,-0.0964590964591,-0.112898188116
2.19,-0.0915750915751,-0.110081876539
2.195,-0.0708180708181,-0.10454952385
2.2,-0.041514041514,-0.0952099853271
2.205,-0.029304029304,-0.0814969011925
2.21,-0.019536019536,-0.0652342876318
2.215,-0.004884004884,-0.0485782534875
2.22,-0.003663003663,-0.0329434312085
2.225,-0.00854700854701,-0.0201326336634
2.23,-0.001221001221,-0.0111309937353
2.235,0.00732600732601,-0.00481888682321
2.24,0.004884004884,1.96051319893E-05
2.245,0.010989010989,0.00369113769869
2.25,0.004884004884,0.00628022866285
2.255,0,0.00735226099282
2.26,-0.023199023199,0.00567790261491
2.265,-0.025641025641,0.000483412941924
2.27,-0.00732600732601,-0.0059344115938
2.275,-0.00976800976801,-0.0103051222861
2.28,-0.040293040293,-0.0136511001101
2.285,-0.107448107448,-0.0219026653975
2.29,-0.18315018315,-0.0421406366995
2.295,-0.249084249084,-0.0776634007095
2.3,-0.291819291819,-0.12569552861
2.305,-0.310134310134,-0.178846131427
2.31,-0.261294261294,-0.22611450515
2.315,-0.141636141636,-0.252586326746
2.32,0.039072039072,-0.242315815287
2.325,0.201465201465,-0.186185841634
2.33,0.278388278388,-0.0909911579786
2.335,0.263736263736,0.0197627845839
2.34,0.216117216117,0.117731845241
2.345,0.150183150183,0.183224101174
2.35,0.10989010989,0.210519906357
2.355,0.0708180708181,0.205431708937
2.36,0.032967032967,0.178145719315
2.365,0.00610500610501,0.138443660888
2.37,-0.00610500610501,0.0951735440236
2.375,-0.013431013431,0.0554294308671
2.38,-0.013431013431,0.0235141260256
2.385,-0.019536019536,0.000718770169553
2.39,-0.037851037851,-0.0147930944597
2.395,-0.0525030525031,-0.0265078562713
2.4,-0.0549450549451,-0.0365028706113
2.405,-0.0561660561661,-0.0447652987797
2.41,-0.0561660561661,-0.0508762850092
2.415,-0.0720390720391,-0.0555901003498
2.42,-0.0805860805861,-0.0606057333246
2.425,-0.0744810744811,-0.0660834768614
2.43,-0.0683760683761,-0.0703270834109
2.435,-0.0695970695971,-0.0723920876041
2.44,-0.0805860805861,-0.0733425409596
2.445,-0.0793650793651,-0.0745833458299
2.45,-0.0769230769231,-0.0760196218028
2.455,-0.0854700854701,-0.0773996548337
2.46,-0.105006105006,-0.080074528882
2.465,-0.105006105006,-0.0850893870275
2.47,-0.106227106227,-0.0912872589867
2.475,-0.10989010989,-0.0972049105391
2.48,-0.108669108669,-0.102230740465
2.485,-0.115995115995,-0.106284848143
2.49,-0.129426129426,-0.110352151463
2.495,-0.129426129426,-0.115252572061
2.5,-0.142857142857,-0.120897662705
2.505,-0.162393162393,-0.128007743867
2.51,-0.173382173382,-0.137455325173
2.515,-0.179487179487,-0.14850593433
2.52,-0.191697191697,-0.159939276757
2.525,-0.200244200244,-0.171253552902
2.53,-0.20757020757,-0.182111288602
2.535,-0.216117216117,-0.19220544612
2.54,-0.223443223443,-0.20152592149
2.545,-0.241758241758,-0.210661126758
2.55,-0.250305250305,-0.220441580425
2.555,-0.257631257631,-0.230706059872
2.56,-0.266178266178,-0.240779015036
2.565,-0.272283272283,-0.250307216586
2.57,-0.272283272283,-0.258766847982
2.575,-0.260073260073,-0.264858276402
2.58,-0.238095238095,-0.266520533842
2.585,-0.212454212454,-0.261923830962
2.59,-0.18315018315,-0.250365644671
2.595,-0.140415140415,-0.231658508886
2.6,-0.0927960927961,-0.20539591857
2.605,-0.0549450549451,-0.172152539652
2.61,-0.001221001221,-0.133442818313
2.615,0.0647130647131,-0.0894431109981
2.62,0.123321123321,-0.0396954696691
2.625,0.184371184371,0.0149646799059
2.63,0.223443223443,0.0720934339442
2.635,0.252747252747,0.127667592528
2.64,0.272283272283,0.177629628424
2.645,0.28083028083,0.219160798858
2.65,0.291819291819,0.251078688027
2.655,0.283272283272,0.273392814605
2.66,0.279609279609,0.286415513839
2.665,0.278388278388,0.291676955255
2.67,0.261294261294,0.291080223257
2.675,0.251526251526,0.285628384669
2.68,0.228327228327,0.276034735454
2.685,0.208791208791,0.262682109221
2.69,0.206349206349,0.246959364642
2.695,0.206349206349,0.231845701287
2.7,0.178266178266,0.218412298972
2.705,0.156288156288,0.204679170678
2.71,0.145299145299,0.189502534213
2.715,0.144078144078,0.174332366616
2.72,0.140415140415,0.161176111351
2.725,0.135531135531,0.150818413019
2.73,0.120879120879,0.142452835698
2.735,0.0915750915751,0.13368168119
2.74,0.0793650793651,0.122386686446
2.745,0.0891330891331,0.109906898518
2.75,0.0940170940171,0.099710545097
2.755,0.0879120879121,0.0931383141955
2.76,0.0952380952381,0.0895612265195
2.765,0.0695970695971,0.0873286791233
2.77,0.046398046398,0.0830713745612
2.775,0.040293040293,0.0749989310258
2.78,0.0573870573871,0.0656948361268
2.785,0.0512820512821,0.0585157444336
2.79,0.029304029304,0.0529179152563
2.795,0.019536019536,0.0463706997783
2.8,0.035409035409,0.0393818371741
2.805,0.029304029304,0.0341976532417
2.81,0.015873015873,0.0304070394596
2.815,0.02442002442,0.0268747321764
2.82,0.019536019536,0.0240649430057
2.825,0.015873015873,0.0219036716894
2.83,0.00976800976801,0.0196152579523
2.835,0.00976800976801,0.0169543377884
2.84,-0.00610500610501,0.0135873408145
2.845,-0.014652014652,0.00863559861684
2.85,-0.00976800976801,0.00252266979577
2.855,0.003663003663,-0.00235741928583
2.86,0.001221001221,-0.00437882580181
2.865,-0.018315018315,-0.00512823562843
2.87,-0.026862026862,-0.0074231818683
2.875,-0.00610500610501,-0.0107870126331
2.88,0.00976800976801,-0.0118027361197
2.885,-0.00610500610501,-0.00978639349264
2.89,-0.021978021978,-0.00811541537662
2.895,-0.035409035409,-0.0097389820146
2.9,-0.029304029304,-0.0143730634598
2.905,-0.025641025641,-0.0195199848418
2.91,-0.02442002442,-0.0232934563059
2.915,-0.028083028083,-0.0255824861646
2.92,-0.030525030525,-0.0271133500934
2.925,-0.029304029304,-0.028326814613
2.93,-0.042735042735,-0.0297798578523
2.935,-0.037851037851,-0.0320401615987
2.94,-0.046398046398,-0.0348436682676
2.945,-0.0586080586081,-0.0385235452554
2.95,-0.0525030525031,-0.0431945881698
2.955,-0.047619047619,-0.04726585616
2.96,-0.042735042735,-0.0493333290126
2.965,-0.047619047619,-0.0495831900082
2.97,-0.0549450549451,-0.0494562909649
2.975,-0.0549450549451,-0.0500687448371
2.98,-0.0561660561661,-0.0513260960242
2.985,-0.0573870573871,-0.0528375810582
2.99,-0.0659340659341,-0.0547584119809
2.995,-0.047619047619,-0.056526118653
3,-0.041514041514,-0.0563151713403
